125,126,0.003745318,70
98,107,0.033707865,89
306,316,0.037453184,92
191,201,0.037453184,92
114,128,0.052434457,101
188,204,0.059925094,106
159,179,0.074906367,115
222,244,0.082397004,120
185,208,0.086142322,122
106,131,0.093632959,127
83,117,0.127340824,148
97,131,0.127340824,148
117,155,0.142322097,158
129,167,0.142322097,158
268,307,0.146067416,160
254,295,0.153558052,165
199,241,0.157303371,167
223,266,0.161048689,170
152,198,0.172284644,177
232,283,0.191011236,189
99,156,0.213483146,203
183,247,0.239700375,219
127,192,0.243445693,222
237,302,0.243445693,222
236,302,0.247191011,224
73,140,0.25093633,227
217,292,0.280898876,246
154,230,0.284644195,248
171,251,0.299625468,257
181,261,0.299625468,257
141,222,0.303370787,260
189,272,0.310861423,264
106,191,0.31835206,269
165,255,0.337078652,281
117,208,0.34082397,283
201,292,0.34082397,283
236,328,0.344569288,286
137,233,0.359550562,295
223,324,0.378277154,307
214,316,0.382022472,309
199,306,0.400749064,321
166,277,0.415730337,331
71,183,0.419475655,333
199,315,0.434456929,343
78,195,0.438202247,345
185,305,0.449438202,352
167,288,0.453183521,354
70,200,0.486891386,376
143,274,0.490636704,378
171,303,0.494382022,380
79,213,0.501872659,385
115,251,0.509363296,390
170,307,0.513108614,392
102,240,0.516853933,395
145,290,0.543071161,411
180,329,0.558052434,421
142,292,0.561797753,423
115,268,0.573033708,430
120,275,0.580524345,435
112,270,0.5917603,442
67,228,0.602996255,449
75,239,0.61423221,456
156,330,0.651685393,480
160,334,0.651685393,480
86,260,0.651685393,480
93,268,0.655430712,482
107,286,0.670411985,492
136,318,0.68164794,499
108,291,0.685393258,501
145,330,0.692883895,506
118,311,0.722846442,525
69,267,0.741573034,537
113,312,0.745318352,539
109,308,0.745318352,539
132,333,0.752808989,544
100,301,0.752808989,544
89,291,0.756554307,546
70,279,0.782771536,563
121,331,0.786516854,565
87,300,0.797752809,572
83,298,0.805243446,577
101,319,0.816479401,584
110,329,0.820224719,586
103,322,0.820224719,586
101,326,0.842696629,601
71,296,0.842696629,601
88,316,0.853932584,608
98,326,0.853932584,608
77,309,0.868913858,617
82,319,0.887640449,629
71,315,0.913857678,646
70,314,0.913857678,646
78,322,0.913857678,646
77,323,0.921348315,650
83,333,0.936329588,660
79,332,0.947565543,667
68,324,0.958801498,674
67,324,0.962546816,676
67,327,0.973782772,683
68,333,0.992509363,695
